,City,Borough,Neighborhood,Latitude,Longitude
73,Tallinna linn,Põhja-Tallinna linnaosa,Kelmiküla,59.43630770000001,24.7301702
74,Tallinna linn,Nõmme linnaosa,Liiva,59.382957,24.731037
75,Tallinna linn,Haabersti linnaosa,Tiskre,59.4391588,24.5701015
76,Tallinna linn,Haabersti linnaosa,Väike-Õismäe,59.4153634,24.6466996
77,Tallinna linn,Põhja-Tallinna linnaosa,Paljassaare,59.461802899999995,24.7009466
78,Tallinna linn,Põhja-Tallinna linnaosa,Kopli,59.459025,24.673429000000002
79,Tallinna linn,Kesklinna linnaosa,Uus Maailm,59.4256471,24.733785600000004
80,Tallinna linn,Kesklinna linnaosa,Vanalinn,59.437343799999994,24.7452048
81,Tallinna linn,Pirita linnaosa,Merivälja,59.49379449999999,24.836424100000002
82,Tallinna linn,Pirita linnaosa,Laiaküla,59.470153599999996,24.9022826
83,Tallinna linn,Põhja-Tallinna linnaosa,Kalamaja,59.4455201,24.734592000000003
84,Helsinki/Kami,15,MEILAHTI,60.1913479,24.9026643
85,Helsinki/Kami,43,HERTTONIEMI,60.195524600000006,25.0290632
86,Helsinki/Kami,10,SÖRNÄINEN,60.1838848,24.9644087
87,Helsinki/Kami,55,ÖSTERSUNDOM,60.25960365,25.187008478540395
88,Helsinki/Kami,21,HERMANNI,60.1966243,24.970934600000003
89,Helsinki/Kami,30,MUNKKINIEMI,60.199093700000006,24.8743585
90,Helsinki/Kami,22,VALLILA,60.1961671,24.9567103
91,Helsinki/Kami,Aluemeri,ALUEMERI,59.99929279999999,25.020177966644003
92,Helsinki/Kami,07,ULLANLINNA,60.1587146,24.949404
93,Helsinki/Kami,58,KARHUSAARI,60.251098999999996,25.21848
94,Helsinki/Kami,16,RUSKEASUO,60.20480260000001,24.9056207
95,Helsinki/Kami,34,PAKILA,60.243545,24.939963100000003
96,Helsinki/Kami,47,MELLUNKYLÄ,60.23596475,25.0892178510239
97,Helsinki/Kami,27,VANHAKAUPUNKI,60.2141157,24.9791849
98,Helsinki/Kami,35,TUOMARINKYLÄ,60.2572811,24.968016100000003
99,Helsinki/Kami,42,KULOSAARI,60.185387899999995,25.009684699999998
100,Helsinki/Kami,24,KUMPULA,60.2040009,24.9581075
101,Helsinki/Kami,56,SALMENKALLIO,60.244023999999996,25.1574065
102,Helsinki/Kami,33,KAARELA,60.25193055,24.873077829851198
103,Helsinki/Kami,03,KAARTINKAUPUNKI,60.16521379999999,24.947222500000002
104,Helsinki/Kami,20,LÄNSISATAMA,60.159554500000006,24.914646824067898
105,Helsinki/Kami,52,SUOMENLINNA,60.1457064,24.9888603
106,Helsinki/Kami,12,ALPPIHARJU,60.189728,24.9441203
107,Helsinki/Kami,08,KATAJANOKKA,60.166975199999996,24.968151100000004
108,Helsinki/Kami,46,PITÄJÄNMÄKI,60.222711,24.8643556
109,Helsinki/Kami,31,LAUTTASAARI,60.1593692,24.8753044
110,Helsinki/Kami,37,PUKINMÄKI,60.245247,24.989693600000003
111,Helsinki/Kami,59,ULTUNA,60.2713667,25.202134
112,Helsinki/Kami,18,LAAKSO,60.19408589999999,24.9191674
113,Helsinki/Kami,48,VARTIOSAARI,60.1842356,25.0769141
114,Helsinki/Kami,25,KÄPYLÄ,60.215684200000005,24.952786399999997
115,Helsinki/Kami,05,PUNAVUORI,60.1612371,24.9365046
116,Helsinki/Kami,26,KOSKELA,60.2187652,24.968244100000003
117,Helsinki/Kami,19,MUSTIKKAMAA-KORKEASAARI,60.176892599999995,24.99019379294
118,Helsinki/Kami,13,ETU-TÖÖLÖ,60.1740311,24.9223027
119,Helsinki/Kami,09,KAIVOPUISTO,60.1568425,24.9567212
120,Helsinki/Kami,49,LAAJASALO,60.1732049,25.044919699999998
121,Helsinki/Kami,44,TAMMISALO,60.1914529,25.059291899999998
122,Helsinki/Kami,40,SUUTARILA,60.283018999999996,25.0064817
123,Helsinki/Kami,51,SANTAHAMINA,60.15247610000001,25.049372
124,Helsinki/Kami,02,KLUUVI,60.170778299999995,24.9473293
125,Helsinki/Kami,53,ULKOSAARET,60.101523,25.050689000000002
126,Helsinki/Kami,50,VILLINKI,60.16199029999999,25.1289661549128
127,Helsinki/Kami,36,VIIKKI,60.225892,25.0222642
128,Helsinki/Kami,14,TAKA-TÖÖLÖ,60.1853441,24.9167329
129,Helsinki/Kami,29,HAAGA,60.218978899999996,24.8976472293573
130,Helsinki/Kami,01,KRUUNUNHAKA,60.172870200000006,24.9547326
131,Helsinki/Kami,54,VUOSAARI,60.2083483,25.1435537
132,Helsinki/Kami,11,KALLIO,60.183981599999996,24.952451500000002
133,Helsinki/Kami,45,VARTIOKYLÄ,60.2119555,25.0814407023908
134,Helsinki/Kami,38,MALMI,60.250761100000005,25.0085738
135,Helsinki/Kami,41,SUURMETSÄ,60.2675853,25.061563
136,Helsinki/Kami,39,TAPANINKYLÄ,60.26117829999999,25.0109853
137,Helsinki/Kami,17,PASILA,60.197873,24.9322653
138,Helsinki/Kami,28,OULUNKYLÄ,60.2294429,24.9635828
139,Helsinki/Kami,04,KAMPPI,60.1685348,24.9304942
140,Helsinki/Kami,23,TOUKOLA,60.20883570000001,24.9725649
141,Helsinki/Kami,57,TALOSAARI,60.243624100000005,25.201558300000002
142,Helsinki/Kami,06,EIRA,60.156191099999994,24.9383747
143,Helsinki/Kami,32,KONALA,60.238550399999994,24.846064600000002
