,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
90,HERMANNI,60.1966243,24.970934600000003,HSL 3024 Vallilan varikko,60.1954838544896,24.96269702911377,Bus Stop
91,HERMANNI,60.1966243,24.970934600000003,Vastuunkantajat ry:n kirpputori,60.19484677569455,24.963000091480467,Flea Market
92,MUNKKINIEMI,60.199093700000006,24.8743585,Veggie,60.19794498173432,24.87594903143674,Vegetarian / Vegan Restaurant
93,MUNKKINIEMI,60.199093700000006,24.8743585,Cafe Tarina,60.19848511258456,24.87615037611885,Café
94,MUNKKINIEMI,60.199093700000006,24.8743585,Alvar Aallon koti ja toimisto / Aalto House (Alvar Aallon koti ja toimisto),60.19691529877524,24.876517863556504,Art Museum
95,MUNKKINIEMI,60.199093700000006,24.8743585,Studio Aalto (Alvar Aallon ateljee),60.19823698285711,24.869433208931238,Museum
96,MUNKKINIEMI,60.199093700000006,24.8743585,Munkkiniemen frisbeegolfrata,60.199650989615556,24.87072893965183,Disc Golf
97,MUNKKINIEMI,60.199093700000006,24.8743585,Munkinpuisto,60.200047,24.869902,Park
98,MUNKKINIEMI,60.199093700000006,24.8743585,Munkkiniemen lippakioski,60.19821163039574,24.876322502303825,Café
99,MUNKKINIEMI,60.199093700000006,24.8743585,Max's Cafe,60.19714376905844,24.881790016470863,Café
100,MUNKKINIEMI,60.199093700000006,24.8743585,Kotipizza,60.19762026038025,24.878878934712144,Pizza Place
101,MUNKKINIEMI,60.199093700000006,24.8743585,Ukko-Munkki,60.19971051810092,24.87738021340503,Gastropub
102,MUNKKINIEMI,60.199093700000006,24.8743585,Leikkipuisto Munkki,60.20001488027768,24.872765045915312,Playground
103,MUNKKINIEMI,60.199093700000006,24.8743585,Ravintola Fond,60.19908407505173,24.872893531697677,Café
104,MUNKKINIEMI,60.199093700000006,24.8743585,MUMU,60.198047890589386,24.876310999199212,Health Food Store
105,MUNKKINIEMI,60.199093700000006,24.8743585,Laajalahden aukio,60.19800147206283,24.87663058805115,Plaza
106,MUNKKINIEMI,60.199093700000006,24.8743585,Länsi-Helsingin musiikkiopisto,60.19912852364102,24.86973228823367,Music Venue
107,MUNKKINIEMI,60.199093700000006,24.8743585,HSL 1404 Professorintie,60.201409369834984,24.87519244882436,Bus Stop
108,MUNKKINIEMI,60.199093700000006,24.8743585,"Alvar Aallon ateljee 1954-55, 1962-63",60.19817641064503,24.86948405530078,Historic Site
109,MUNKKINIEMI,60.199093700000006,24.8743585,Pizza Paja,60.198082021713525,24.879271447458102,Pizza Place
110,MUNKKINIEMI,60.199093700000006,24.8743585,Munkkiniemenkenttä,60.19627574880305,24.875208735466003,Soccer Field
111,MUNKKINIEMI,60.199093700000006,24.8743585,Royal Pokhara,60.197079,24.878438,Indian Restaurant
112,VALLILA,60.1961671,24.9567103,Bites Burgers,60.19577981722673,24.951039478182793,Burger Joint
113,VALLILA,60.1961671,24.9567103,Tropicario,60.193803,24.955993,Zoo
114,VALLILA,60.1961671,24.9567103,Mashiro,60.193697,24.958275,Japanese Restaurant
115,VALLILA,60.1961671,24.9567103,King Kebab,60.19491067874227,24.95612505011584,Kebab Restaurant
116,VALLILA,60.1961671,24.9567103,Restaurante Coco Grill,60.19454795475693,24.957480132579803,Venezuelan Restaurant
117,VALLILA,60.1961671,24.9567103,Plein,60.193443,24.958391,Restaurant
118,VALLILA,60.1961671,24.9567103,Pub Magneetti,60.193715142938245,24.95857937839656,Dive Bar
119,VALLILA,60.1961671,24.9567103,Ääniwalli,60.19505023692134,24.949734419397203,Music Venue
120,VALLILA,60.1961671,24.9567103,Ääniwallin terassi,60.19512922895635,24.94981840252876,Beer Garden
121,VALLILA,60.1961671,24.9567103,Magu,60.1956,24.958737,Vegetarian / Vegan Restaurant
122,VALLILA,60.1961671,24.9567103,African Pots,60.19775400194214,24.949461744661075,African Restaurant
123,VALLILA,60.1961671,24.9567103,Vallilan kalliot,60.19218532770332,24.957435010020735,Scenic Lookout
124,VALLILA,60.1961671,24.9567103,Vallilan siirtolapuutarha,60.200107078980345,24.958223018784754,Garden
125,VALLILA,60.1961671,24.9567103,Movement Factory,60.19656046101566,24.949097885618453,Gym
126,VALLILA,60.1961671,24.9567103,Frangipani Bakery,60.19473499999999,24.9515719,Bakery
127,VALLILA,60.1961671,24.9567103,Brokadi,60.196931045054654,24.951338607377274,Chinese Restaurant
128,VALLILA,60.1961671,24.9567103,Lebanese Food,60.197178668757466,24.95066198031174,Middle Eastern Restaurant
129,VALLILA,60.1961671,24.9567103,Addis,60.19428041553815,24.956409610788555,Ethiopian Restaurant
130,VALLILA,60.1961671,24.9567103,KOKORO Sushi,60.193852365138895,24.950727279860736,Sushi Restaurant
131,VALLILA,60.1961671,24.9567103,CheapSleep,60.19366528658922,24.956048485331102,Hostel
132,VALLILA,60.1961671,24.9567103,Kumpulanlaakson kenttä,60.199398323748056,24.9532010411433,Soccer Field
133,VALLILA,60.1961671,24.9567103,Asian Aroma,60.198398019721694,24.962426127975412,Vietnamese Restaurant
134,VALLILA,60.1961671,24.9567103,Elmstreet,60.19382,24.95165,Cafeteria
135,VALLILA,60.1961671,24.9567103,Ravintola Pikku-Vallila,60.192024137067975,24.958898603457865,Bar
136,VALLILA,60.1961671,24.9567103,Cheng Long,60.195194340847735,24.95514338628034,Chinese Restaurant
137,VALLILA,60.1961671,24.9567103,Hotelli Ava,60.19791006076844,24.953729644577866,Hotel
138,VALLILA,60.1961671,24.9567103,Chalupa LAB,60.19443202107592,24.95675844004838,Burrito Place
139,VALLILA,60.1961671,24.9567103,Backas Bar,60.19254401653691,24.96075778788181,Bar
140,VALLILA,60.1961671,24.9567103,Marco Polo,60.193916960648515,24.958328434920947,Pizza Place
141,VALLILA,60.1961671,24.9567103,Antell-ravintola Vallilan Akseli,60.19606621788752,24.950896868099857,Cafeteria
142,VALLILA,60.1961671,24.9567103,Sturenkadun Pizzeria,60.19511899937503,24.95819415589089,Pizza Place
143,VALLILA,60.1961671,24.9567103,Vallilan apteekki,60.194652466204815,24.95690113793652,Pharmacy
144,VALLILA,60.1961671,24.9567103,Sture Jazz Club,60.19447724118037,24.956989500707248,Jazz Club
145,VALLILA,60.1961671,24.9567103,R-kioski,60.19666283823663,24.961237418537834,Convenience Store
146,VALLILA,60.1961671,24.9567103,HSL 0268 Rautalammintie,60.19617,24.95311,Tram Station
147,VALLILA,60.1961671,24.9567103,HSL 3052 Kangasalantie,60.195611838703456,24.95896339416504,Bus Stop
148,VALLILA,60.1961671,24.9567103,Vallilan Pallokenttä,60.197955136096255,24.954432402345432,Soccer Field
149,VALLILA,60.1961671,24.9567103,Hermannin Kukko,60.19587374190394,24.963031578571073,Bar
